GTIN Code;GTIN Name;Segmentation (GPC);GPC Segmentation Code;GPC Brick Code;GPC Class Code;GPC Family Code;GTIN Image;Brand Code;Brand;Brand Image;Brand Link;Brand Owner;Brand Owner Code;Brand Owner Link;Brand Owner Wikipedia Link;Brand Owner Image;GCP Code;GLN Code;Logistical Owner (GLN);GLN Country ISO Code;GLN City;GLN Postal Code;GLN Address2;GLN Address3;GLN Address4;GLN Last Change;GLN Return Code;Number of Units;Package Type Code;Package Type Name;Weight (g);Weight (oz);Volume (ml);Volume (fl oz);Alcohol by Volume;Alcohol by Weight;Registration;Registration Country ISO Code
0036200024171;Pasta Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200024171.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;13.5;;;;;GS1 US;US
0036200024911;Lemon Herb Shrimp & Penne;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200024911.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;680.0;24.0;;;;;GS1 US;US
0036200038024;Pasta Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200038024.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;737.0;26.0;;;;;GS1 US;US
0036200057001;Chicken Alfredo & Fettuccine;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200057001.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;680.0;24.0;;;;;GS1 US;US
0036200057025;Shrimp Scampi & Linguine;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200057025.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;24.0;;;;;GS1 US;US
0036200057148;Complete Skillet Meal For Two Chicken Florentine & Farfalle;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200057148.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;24.0;;;;;GS1 US;US
0036200061343;Roasted Chicken Cannelloni;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200061343.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;595.0;21.0;;;;;GS1 US;US
0036200064061;Chili Seasoning Mix;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200064061.jpg;T7US48;Lawrys;http://product.okfn.org.s3.amazonaws.com/images/brand/T7US48.jpg;http://www.lawrys.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;1.3;;;;;GS1 US;US
0036200078051;Sweet And Sour Chicken;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200078051.jpg;;;;;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;623.0;22.0;;;;;GS1 US;US
0036200078075;Orange Chicken;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200078075.jpg;;;;;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;623.0;22.0;;;;;GS1 US;US
0036200083550;Tuscan-style Braised Beef With Gold Potatoes;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200083550.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;24.0;;;;;GS1 US;US
